train_number,station_code,station_name,avg_delay_min,pct_right_time,pct_slight_delay,pct_significant_delay,total_records,day_of_week,month,season
49,97,93,-0.4510779853695679,-0.02254389005589301,0.605904936429256,-0.6159000827325969,0.27,5,9,0
49,431,430,-0.35171949658753876,-0.5328235008727348,1.2398170333271248,-0.591372737278852,0.27,5,9,0
49,268,270,-0.669666660690032,1.3244599180309347,-1.081650658159006,-0.6649547736400864,0.28,5,9,0
46,286,96,-0.7491534517156553,1.5168454086441066,-1.2966158989387286,-0.6894821190938313,0.01,5,9,0
46,431,430,-0.6895383584464378,1.4499685476214326,-1.221299610198388,-0.6769954704991975,0.0,5,9,0
46,97,93,-0.669666660690032,1.4163774302127832,-1.1781496531075677,-0.6769954704991975,0.0,5,9,0
46,275,286,-0.5901798696644087,0.9983207053724145,-0.6407365511582607,-0.6769954704991975,0.0,5,9,0
46,440,436,-0.47094968312597374,0.2953502301477769,0.26188209671426155,-0.6769954704991975,0.0,5,9,0
46,465,465,-0.6100515674208146,1.0065657978272646,-0.6517201765995603,-0.6769954704991975,0.0,5,9,0
46,467,469,-0.5703081719080029,0.7891396560549182,-0.3830136256249069,-0.6649547736400864,0.0,5,9,0
46,442,437,-0.5901798696644087,0.8728120757819166,-0.5010875991188787,-0.6524681250454527,0.0,5,9,0
46,121,129,-0.550436474151597,0.6801212113741205,-0.2645473797937458,-0.6404274281863416,0.0,5,9,0
46,396,410,-0.4908213808823796,0.2620644865337518,0.2724734498183721,-0.6404274281863416,0.0,5,9,0
46,270,265,-0.550436474151597,0.563163048033097,-0.10371572154614292,-0.6524681250454527,0.0,5,9,0
46,466,466,-0.4908213808823796,0.3622270911704509,0.16499082942851062,-0.6649547736400864,0.01,5,9,0
46,419,399,-0.5106930786387854,0.3289413475564258,0.1975494334152204,-0.6524681250454527,0.0,5,9,0
46,113,242,-0.47094968312597374,0.20343271796592793,0.3587733640000125,-0.6524681250454527,0.0,5,9,0
47,435,438,-0.7491534517156553,1.5086003161892563,-1.2750409203933186,-0.7015228159529423,0.0,5,9,0
47,113,242,-0.6497949629336262,1.4163774302127832,-1.1565746745621575,-0.7015228159529423,0.0,5,9,0
47,419,399,-0.6299232651772204,1.2575830570082602,-0.9525930592237344,-0.7015228159529423,0.0,5,9,0
47,466,466,-0.669666660690032,1.4163774302127832,-1.1565746745621575,-0.7015228159529423,0.0,5,9,0
47,270,265,-0.5901798696644087,0.8893022606916172,-0.4795126205734685,-0.7015228159529423,0.0,5,9,0
47,396,410,-0.550436474151597,0.655080560214946,-0.1786397379492945,-0.7015228159529423,0.0,5,9,0
47,121,129,-0.6299232651772204,1.0819931250994128,-0.7270364653399012,-0.7015228159529423,0.0,5,9,0
47,442,437,-0.669666660690032,1.2826237081674352,-0.984759390873255,-0.7015228159529423,0.0,5,9,0
47,467,469,-0.3715911943439446,-0.41586533753171123,1.1539093914826735,-0.6524681250454527,0.0,5,9,0
47,465,465,-0.4908213808823796,0.15304604185295437,0.4015310487536436,-0.6283867313272306,0.01,5,9,0
47,440,436,-0.4312062876131621,-0.32364245155523824,1.0032768140019916,-0.6283867313272306,0.28,5,9,0
47,275,286,-0.41133458985675625,-0.3740291276682118,1.068001749638222,-0.6283867313272306,0.28,5,9,0
47,97,93,-0.4312062876131621,-0.1648480783507153,0.788311573222269,-0.6159000827325969,0.28,5,9,0
47,431,430,-0.33184779883113297,-0.6919232478718815,1.422615942457327,-0.579332040419741,0.55,5,9,0
47,268,270,-0.6299232651772204,1.2075017546899107,-0.9525930592237344,-0.6524681250454527,0.54,5,9,0
78,286,96,-0.788896847228467,1.533640967348431,-1.3072072520428393,-0.7015228159529423,0.0,5,9,0
78,431,430,-0.7491534517156553,1.533640967348431,-1.3072072520428393,-0.7015228159529423,0.0,5,9,0
78,465,465,-0.669666660690032,1.2988085192825116,-1.0055498247442864,-0.7015228159529423,0.0,5,9,0
78,442,437,-0.669666660690032,1.2988085192825116,-1.0055498247442864,-0.7015228159529423,0.0,5,9,0
78,121,129,-0.5901798696644087,1.1812396083522396,-1.0055498247442864,-0.5298313977767287,0.0,5,9,0
78,270,265,-0.5106930786387854,0.9464071602863203,-0.7038923974457338,-0.5298313977767287,0.0,5,9,0
78,466,466,-0.47094968312597374,0.35917335322421,0.05083957930643141,-0.5298313977767287,0.0,5,9,0
79,435,438,-0.8087685449848728,1.533640967348431,-1.3072072520428393,-0.7015228159529423,0.0,5,9,0
79,270,265,-0.7690251494720611,1.533640967348431,-1.3072072520428393,-0.7015228159529423,0.0,5,9,0
79,121,129,-0.6299232651772204,1.4160720564181595,-1.1561824022249683,-0.7015228159529423,0.0,5,9,0
79,442,437,-0.7491534517156553,1.533640967348431,-1.3072072520428393,-0.7015228159529423,0.0,5,9,0
79,465,465,-0.6100515674208146,1.2988085192825116,-1.0055498247442864,-0.7015228159529423,0.0,5,9,0
79,431,430,-0.41133458985675625,-0.9328631718302826,1.8611764154349364,-0.7015228159529423,0.0,5,9,0
79,286,96,-0.7292817539592495,1.2988085192825116,-1.0055498247442864,-0.7015228159529423,0.0,5,9,0
42,88,464,-0.47094968312597374,0.28710513769292656,0.15439947632440007,-0.5672913435606298,0.55,5,9,0
42,219,223,-0.47094968312597374,0.38757311612424966,0.0037668988437185554,-0.5548046949659962,0.82,5,9,0
42,471,471,-0.25236100780550963,-0.5245784084178844,1.110759434391853,-0.48166861034028435,0.83,5,9,0
42,67,37,-0.3715911943439446,0.1280053906937796,0.21873213962344124,-0.4205732225736836,0.83,5,9,0
42,314,305,-0.07351572799785719,-0.7084134327815821,1.1754843700280835,-0.2738551015867375,0.54,5,9,0
42,147,180,-0.2324893100491038,0.554917955578247,-0.5120712245601784,-0.17619167150728093,0.0,5,9,0
